orderNumber,orderDate,requiredDate,shippedDate,status,comments,customerNumber
10127,03-06-2003,09-06-2003,06-06-2003,Shipped,Customer requested special shippment. The instructions were passed along to the warehouse,151
10128,06-06-2003,12-06-2003,11-06-2003,Shipped,NULL,141
10129,12-06-2003,18-06-2003,14-06-2003,Shipped,NULL,324
10130,16-06-2003,24-06-2003,21-06-2003,Shipped,NULL,198
10131,16-06-2003,25-06-2003,21-06-2003,Shipped,NULL,447
10132,25-06-2003,01-07-2003,28-06-2003,Shipped,NULL,323
10133,27-06-2003,04-07-2003,03-07-2003,Shipped,NULL,141
10134,01-07-2003,10-07-2003,05-07-2003,Shipped,NULL,250
10135,02-07-2003,12-07-2003,03-07-2003,Shipped,NULL,124
10136,04-07-2003,14-07-2003,06-07-2003,Shipped,Customer is interested in buying more Ferrari models,242
10137,10-07-2003,20-07-2003,14-07-2003,Shipped,NULL,353
10138,07-07-2003,16-07-2003,13-07-2003,Shipped,NULL,496
10139,16-07-2003,23-07-2003,21-07-2003,Shipped,NULL,282
10140,24-07-2003,02-08-2003,30-07-2003,Shipped,NULL,161
10141,01-08-2003,09-08-2003,04-08-2003,Shipped,NULL,334
10142,08-08-2003,16-08-2003,13-08-2003,Shipped,NULL,124
10143,10-08-2003,18-08-2003,12-08-2003,Shipped,Can we deliver the new Ford Mustang models by end-of-quarter?,320
10144,13-08-2003,21-08-2003,14-08-2003,Shipped,NULL,381
10145,25-08-2003,02-09-2003,31-08-2003,Shipped,NULL,205
10146,03-09-2003,13-09-2003,06-09-2003,Shipped,NULL,447
10147,05-09-2003,12-09-2003,09-09-2003,Shipped,NULL,379
10148,11-09-2003,21-09-2003,15-09-2003,Shipped,They want to reevaluate their terms agreement with Finance.,276
10149,12-09-2003,18-09-2003,17-09-2003,Shipped,NULL,487
10150,19-09-2003,27-09-2003,21-09-2003,Shipped,They want to reevaluate their terms agreement with Finance.,148
10151,21-09-2003,30-09-2003,24-09-2003,Shipped,NULL,311
10152,25-09-2003,03-10-2003,01-10-2003,Shipped,NULL,333
10153,28-09-2003,05-10-2003,03-10-2003,Shipped,NULL,141
10154,02-10-2003,12-10-2003,08-10-2003,Shipped,NULL,219
10155,06-10-2003,13-10-2003,07-10-2003,Shipped,NULL,186
10156,08-10-2003,17-10-2003,11-10-2003,Shipped,NULL,141
10157,09-10-2003,15-10-2003,14-10-2003,Shipped,NULL,473
10158,10-10-2003,18-10-2003,15-10-2003,Shipped,NULL,121
10159,10-10-2003,19-10-2003,16-10-2003,Shipped,NULL,321
10160,11-10-2003,17-10-2003,17-10-2003,Shipped,NULL,347
10161,17-10-2003,25-10-2003,20-10-2003,Shipped,NULL,227
10162,18-10-2003,26-10-2003,19-10-2003,Shipped,NULL,321
10163,20-10-2003,27-10-2003,24-10-2003,Shipped,NULL,424
10164,21-10-2003,30-10-2003,23-10-2003,Resolved,"This order was disputed, but resolved on 11/1/2003; Customer doesn't like the colors and precision of the models.",452
10165,22-10-2003,31-10-2003,26-12-2003,Shipped,This order was on hold because customers's credit limit had been exceeded. Order will ship when payment is received,148
10166,21-10-2003,30-10-2003,27-10-2003,Shipped,NULL,462
10167,23-10-2003,30-10-2003,NULL,Cancelled,Customer called to cancel. The warehouse was notified in time and the order didn't ship. They have a new VP of Sales and are shifting their sales model. Our VP of Sales should contact them.,448
10168,28-10-2003,03-11-2003,01-11-2003,Shipped,NULL,161
10169,04-11-2003,14-11-2003,09-11-2003,Shipped,NULL,276
10170,04-11-2003,12-11-2003,07-11-2003,Shipped,NULL,452
10171,05-11-2003,13-11-2003,07-11-2003,Shipped,NULL,233
10172,05-11-2003,14-11-2003,11-11-2003,Shipped,NULL,175
10173,05-11-2003,15-11-2003,09-11-2003,Shipped,"Cautious optimism. We have happy customers here, if we can keep them well stocked.  I need all the information I can get on the planned shippments of Porches",278
10174,06-11-2003,15-11-2003,10-11-2003,Shipped,NULL,333
10175,06-11-2003,14-11-2003,09-11-2003,Shipped,NULL,324
10176,06-11-2003,15-11-2003,12-11-2003,Shipped,NULL,386
10177,07-11-2003,17-11-2003,12-11-2003,Shipped,NULL,344
10178,08-11-2003,16-11-2003,10-11-2003,Shipped,Custom shipping instructions sent to warehouse,242
10179,11-11-2003,17-11-2003,13-11-2003,Cancelled,Customer cancelled due to urgent budgeting issues. Must be cautious when dealing with them in the future. Since order shipped already we must discuss who would cover the shipping charges.,496
10180,11-11-2003,19-11-2003,14-11-2003,Shipped,NULL,171
10181,12-11-2003,19-11-2003,15-11-2003,Shipped,NULL,167
10182,12-11-2003,21-11-2003,18-11-2003,Shipped,NULL,124
10183,13-11-2003,22-11-2003,15-11-2003,Shipped,We need to keep in close contact with their Marketing VP. He is the decision maker for all their purchases.,339
10184,14-11-2003,22-11-2003,20-11-2003,Shipped,NULL,484
10185,14-11-2003,21-11-2003,20-11-2003,Shipped,NULL,320
10186,14-11-2003,20-11-2003,18-11-2003,Shipped,They want to reevaluate their terms agreement with the VP of Sales,489
10187,15-11-2003,24-11-2003,16-11-2003,Shipped,NULL,211
10188,18-11-2003,26-11-2003,24-11-2003,Shipped,NULL,167
10189,18-11-2003,25-11-2003,24-11-2003,Shipped,They want to reevaluate their terms agreement with Finance.,205
10190,19-11-2003,29-11-2003,20-11-2003,Shipped,NULL,141
10191,20-11-2003,30-11-2003,24-11-2003,Shipped,We must be cautions with this customer. Their VP of Sales resigned. Company may be heading down.,259
10192,20-11-2003,29-11-2003,25-11-2003,Shipped,NULL,363
10193,21-11-2003,28-11-2003,27-11-2003,Shipped,NULL,471
10194,25-11-2003,02-12-2003,26-11-2003,Shipped,NULL,146
10195,25-11-2003,01-12-2003,28-11-2003,Shipped,NULL,319
10196,26-11-2003,03-12-2003,01-12-2003,Shipped,NULL,455
10197,26-11-2003,02-12-2003,01-12-2003,Shipped,Customer inquired about remote controlled models and gold models.,216
10198,27-11-2003,06-12-2003,03-12-2003,Shipped,NULL,385
10199,01-12-2003,10-12-2003,06-12-2003,Shipped,NULL,475
10200,01-12-2003,09-12-2003,06-12-2003,Shipped,NULL,211
10201,01-12-2003,11-12-2003,02-12-2003,Shipped,NULL,129
10202,02-12-2003,09-12-2003,06-12-2003,Shipped,NULL,357
10203,02-12-2003,11-12-2003,07-12-2003,Shipped,NULL,141
10204,02-12-2003,10-12-2003,04-12-2003,Shipped,NULL,151
10205,03-12-2003,09-12-2003,07-12-2003,Shipped, I need all the information I can get on our competitors.,141
10206,05-12-2003,13-12-2003,08-12-2003,Shipped,Can we renegotiate this one?,202
10207,09-12-2003,17-12-2003,11-12-2003,Shipped,Check on availability.,495
10208,02-01-2004,11-01-2004,04-01-2004,Shipped,NULL,146
10209,09-01-2004,15-01-2004,12-01-2004,Shipped,NULL,347
10210,12-01-2004,22-01-2004,20-01-2004,Shipped,NULL,177
10211,15-01-2004,25-01-2004,18-01-2004,Shipped,NULL,406
10212,16-01-2004,24-01-2004,18-01-2004,Shipped,NULL,141
10213,22-01-2004,28-01-2004,27-01-2004,Shipped,Difficult to negotiate with customer. We need more marketing materials,489
10214,26-01-2004,04-02-2004,29-01-2004,Shipped,NULL,458
10215,29-01-2004,08-02-2004,01-02-2004,Shipped,Customer requested that FedEx Ground is used for this shipping,475
10216,02-02-2004,10-02-2004,04-02-2004,Shipped,NULL,256
10217,04-02-2004,14-02-2004,06-02-2004,Shipped,NULL,166
10218,09-02-2004,16-02-2004,11-02-2004,Shipped,"Customer requested that ad materials (such as posters, pamphlets) be included in the shippment",473
10219,10-02-2004,17-02-2004,12-02-2004,Shipped,NULL,487
10220,12-02-2004,19-02-2004,16-02-2004,Shipped,NULL,189
10221,18-02-2004,26-02-2004,19-02-2004,Shipped,NULL,314
10222,19-02-2004,27-02-2004,20-02-2004,Shipped,NULL,239
10223,20-02-2004,29-02-2004,24-02-2004,Shipped,NULL,114
10224,21-02-2004,02-03-2004,26-02-2004,Shipped,Customer has worked with some of our vendors in the past and is aware of their MSRP,171
10225,22-02-2004,01-03-2004,24-02-2004,Shipped,NULL,298
10226,26-02-2004,06-03-2004,02-03-2004,Shipped,NULL,239
10227,02-03-2004,12-03-2004,08-03-2004,Shipped,NULL,146
10228,10-03-2004,18-03-2004,13-03-2004,Shipped,NULL,173
10229,11-03-2004,20-03-2004,12-03-2004,Shipped,NULL,124
10230,15-03-2004,24-03-2004,20-03-2004,Shipped,Customer very concerned about the exact color of the models. There is high risk that he may dispute the order because there is a slight color mismatch,128
10231,19-03-2004,26-03-2004,25-03-2004,Shipped,NULL,344
10232,20-03-2004,30-03-2004,25-03-2004,Shipped,NULL,240
10233,29-03-2004,04-04-2004,02-04-2004,Shipped,Customer requested special shippment. The instructions were passed along to the warehouse,328
10234,30-03-2004,05-04-2004,02-04-2004,Shipped,NULL,412
10235,02-04-2004,12-04-2004,06-04-2004,Shipped,NULL,260
10236,03-04-2004,11-04-2004,08-04-2004,Shipped,NULL,486
10237,05-04-2004,12-04-2004,10-04-2004,Shipped,NULL,181
10238,09-04-2004,16-04-2004,10-04-2004,Shipped,NULL,145
10239,12-04-2004,21-04-2004,17-04-2004,Shipped,NULL,311
10240,13-04-2004,20-04-2004,20-04-2004,Shipped,NULL,177
10241,13-04-2004,20-04-2004,19-04-2004,Shipped,NULL,209
10242,20-04-2004,28-04-2004,25-04-2004,Shipped,Customer is interested in buying more Ferrari models,456
10243,26-04-2004,03-05-2004,28-04-2004,Shipped,NULL,495
10244,29-04-2004,09-05-2004,04-05-2004,Shipped,NULL,141
10245,04-05-2004,12-05-2004,09-05-2004,Shipped,NULL,455
10246,05-05-2004,13-05-2004,06-05-2004,Shipped,NULL,141
10247,05-05-2004,11-05-2004,08-05-2004,Shipped,NULL,334
10248,07-05-2004,14-05-2004,NULL,Cancelled,Order was mistakenly placed. The warehouse noticed the lack of documentation.,131
10249,08-05-2004,17-05-2004,11-05-2004,Shipped,Can we deliver the new Ford Mustang models by end-of-quarter?,173
10250,11-05-2004,19-05-2004,15-05-2004,Shipped,NULL,450
10251,18-05-2004,24-05-2004,24-05-2004,Shipped,NULL,328
10252,26-05-2004,04-06-2004,29-05-2004,Shipped,NULL,406
10253,01-06-2004,09-06-2004,02-06-2004,Cancelled,"Customer disputed the order and we agreed to cancel it. We must be more cautions with this customer going forward, since they are very hard to please. We must cover the shipping fees.",201
10254,03-06-2004,13-06-2004,04-06-2004,Shipped,Customer requested that DHL is used for this shipping,323
10255,04-06-2004,12-06-2004,09-06-2004,Shipped,NULL,209
10256,08-06-2004,16-06-2004,10-06-2004,Shipped,NULL,145
10257,14-06-2004,24-06-2004,15-06-2004,Shipped,NULL,450
10258,15-06-2004,25-06-2004,23-06-2004,Shipped,NULL,398
10259,15-06-2004,22-06-2004,17-06-2004,Shipped,NULL,166
10260,16-06-2004,22-06-2004,NULL,Cancelled,Customer heard complaints from their customers and called to cancel this order. Will notify the Sales Manager.,357
10261,17-06-2004,25-06-2004,22-06-2004,Shipped,NULL,233
10262,24-06-2004,01-07-2004,NULL,Cancelled,This customer found a better offer from one of our competitors. Will call back to renegotiate.,141
10263,28-06-2004,04-07-2004,02-07-2004,Shipped,NULL,175
10264,30-06-2004,06-07-2004,01-07-2004,Shipped,Customer will send a truck to our local warehouse on 7/1/2004,362
10265,02-07-2004,09-07-2004,07-07-2004,Shipped,NULL,471
10266,06-07-2004,14-07-2004,10-07-2004,Shipped,NULL,386
10267,07-07-2004,17-07-2004,09-07-2004,Shipped,NULL,151
10268,12-07-2004,18-07-2004,14-07-2004,Shipped,NULL,412
10269,16-07-2004,22-07-2004,18-07-2004,Shipped,NULL,382
10270,19-07-2004,27-07-2004,24-07-2004,Shipped,Can we renegotiate this one?,282
10271,20-07-2004,29-07-2004,23-07-2004,Shipped,NULL,124
10272,20-07-2004,26-07-2004,22-07-2004,Shipped,NULL,157
10273,21-07-2004,28-07-2004,22-07-2004,Shipped,NULL,314
10274,21-07-2004,29-07-2004,22-07-2004,Shipped,NULL,379
10275,23-07-2004,02-08-2004,29-07-2004,Shipped,NULL,119
10276,02-08-2004,11-08-2004,08-08-2004,Shipped,NULL,204
10277,04-08-2004,12-08-2004,05-08-2004,Shipped,NULL,148
10278,06-08-2004,16-08-2004,09-08-2004,Shipped,NULL,112
10279,09-08-2004,19-08-2004,15-08-2004,Shipped,"Cautious optimism. We have happy customers here, if we can keep them well stocked.  I need all the information I can get on the planned shippments of Porches",141
10280,17-08-2004,27-08-2004,19-08-2004,Shipped,NULL,249
10281,19-08-2004,28-08-2004,23-08-2004,Shipped,NULL,157
10282,20-08-2004,26-08-2004,22-08-2004,Shipped,NULL,124
10283,20-08-2004,30-08-2004,23-08-2004,Shipped,NULL,260
10284,21-08-2004,29-08-2004,26-08-2004,Shipped,Custom shipping instructions sent to warehouse,299
10285,27-08-2004,04-09-2004,31-08-2004,Shipped,NULL,286
10286,28-08-2004,06-09-2004,01-09-2004,Shipped,NULL,172
10287,30-08-2004,06-09-2004,01-09-2004,Shipped,NULL,298
10288,01-09-2004,11-09-2004,05-09-2004,Shipped,NULL,166
10289,03-09-2004,13-09-2004,04-09-2004,Shipped,We need to keep in close contact with their Marketing VP. He is the decision maker for all their purchases.,167
10290,07-09-2004,15-09-2004,13-09-2004,Shipped,NULL,198
10291,08-09-2004,17-09-2004,14-09-2004,Shipped,NULL,448
10292,08-09-2004,18-09-2004,11-09-2004,Shipped,They want to reevaluate their terms agreement with Finance.,131
10293,09-09-2004,18-09-2004,14-09-2004,Shipped,NULL,249
10294,10-09-2004,17-09-2004,14-09-2004,Shipped,NULL,204
10295,10-09-2004,17-09-2004,14-09-2004,Shipped,They want to reevaluate their terms agreement with Finance.,362
10296,15-09-2004,22-09-2004,16-09-2004,Shipped,NULL,415
10297,16-09-2004,22-09-2004,21-09-2004,Shipped,We must be cautions with this customer. Their VP of Sales resigned. Company may be heading down.,189
10298,27-09-2004,05-10-2004,01-10-2004,Shipped,NULL,103
10299,30-09-2004,10-10-2004,01-10-2004,Shipped,NULL,186
10300,04-10-2003,13-10-2003,09-10-2003,Shipped,NULL,128
10301,05-10-2003,15-10-2003,08-10-2003,Shipped,NULL,299
10302,06-10-2003,16-10-2003,07-10-2003,Shipped,NULL,201
10303,06-10-2004,14-10-2004,09-10-2004,Shipped,Customer inquired about remote controlled models and gold models.,484
10304,11-10-2004,20-10-2004,17-10-2004,Shipped,NULL,256
10305,13-10-2004,22-10-2004,15-10-2004,Shipped,Check on availability.,286
10306,14-10-2004,21-10-2004,17-10-2004,Shipped,NULL,187
10307,14-10-2004,23-10-2004,20-10-2004,Shipped,NULL,339
10308,15-10-2004,24-10-2004,20-10-2004,Shipped,Customer requested that FedEx Ground is used for this shipping,319
10309,15-10-2004,24-10-2004,18-10-2004,Shipped,NULL,121
10310,16-10-2004,24-10-2004,18-10-2004,Shipped,NULL,259
10311,16-10-2004,23-10-2004,20-10-2004,Shipped,Difficult to negotiate with customer. We need more marketing materials,141
10312,21-10-2004,27-10-2004,23-10-2004,Shipped,NULL,124
10313,22-10-2004,28-10-2004,25-10-2004,Shipped,Customer requested that FedEx Ground is used for this shipping,202
10314,22-10-2004,01-11-2004,23-10-2004,Shipped,NULL,227
10315,29-10-2004,08-11-2004,30-10-2004,Shipped,NULL,119
10316,01-11-2004,09-11-2004,07-11-2004,Shipped,"Customer requested that ad materials (such as posters, pamphlets) be included in the shippment",240
10317,02-11-2004,12-11-2004,08-11-2004,Shipped,NULL,161
10318,02-11-2004,09-11-2004,07-11-2004,Shipped,NULL,157
10319,03-11-2004,11-11-2004,06-11-2004,Shipped,Customer requested that DHL is used for this shipping,456
10320,03-11-2004,13-11-2004,07-11-2004,Shipped,NULL,144
10321,04-11-2004,12-11-2004,07-11-2004,Shipped,NULL,462
10322,04-11-2004,12-11-2004,10-11-2004,Shipped,Customer has worked with some of our vendors in the past and is aware of their MSRP,363
10323,05-11-2004,12-11-2004,09-11-2004,Shipped,NULL,128
10324,05-11-2004,11-11-2004,08-11-2004,Shipped,NULL,181
10325,05-11-2004,13-11-2004,08-11-2004,Shipped,NULL,121
10326,09-11-2004,16-11-2004,10-11-2004,Shipped,NULL,144
10327,10-11-2004,19-11-2004,13-11-2004,Resolved,Order was disputed and resolved on 12/1/04. The Sales Manager was involved. Customer claims the scales of the models don't match what was discussed.,145
10328,12-11-2004,21-11-2004,18-11-2004,Shipped,Customer very concerned about the exact color of the models. There is high risk that he may dispute the order because there is a slight color mismatch,278
10329,15-11-2004,24-11-2004,16-11-2004,Shipped,NULL,131
10330,16-11-2004,25-11-2004,21-11-2004,Shipped,NULL,385
10331,17-11-2004,23-11-2004,23-11-2004,Shipped,Customer requested special shippment. The instructions were passed along to the warehouse,486
10332,17-11-2004,25-11-2004,18-11-2004,Shipped,NULL,187
10333,18-11-2004,27-11-2004,20-11-2004,Shipped,NULL,129
10334,19-11-2004,28-11-2004,NULL,On Hold,The outstaniding balance for this customer exceeds their credit limit. Order will be shipped when a payment is received.,144
10335,19-11-2004,29-11-2004,23-11-2004,Shipped,NULL,124
10336,20-11-2004,26-11-2004,24-11-2004,Shipped,Customer requested that DHL is used for this shipping,172
10337,21-11-2004,30-11-2004,26-11-2004,Shipped,NULL,424
10338,22-11-2004,02-12-2004,27-11-2004,Shipped,NULL,381
10339,23-11-2004,30-11-2004,30-11-2004,Shipped,NULL,398
10340,24-11-2004,01-12-2004,25-11-2004,Shipped,Customer is interested in buying more Ferrari models,216
10341,24-11-2004,01-12-2004,29-11-2004,Shipped,NULL,382
10342,24-11-2004,01-12-2004,29-11-2004,Shipped,NULL,114
10343,24-11-2004,01-12-2004,26-11-2004,Shipped,NULL,353
10344,25-11-2004,02-12-2004,29-11-2004,Shipped,NULL,350
10345,25-11-2004,01-12-2004,26-11-2004,Shipped,NULL,103
10346,29-11-2004,05-12-2004,30-11-2004,Shipped,NULL,112
10347,29-11-2004,07-12-2004,30-11-2004,Shipped,Can we deliver the new Ford Mustang models by end-of-quarter?,114
10348,01-11-2004,08-11-2004,05-11-2004,Shipped,NULL,458
10349,01-12-2004,07-12-2004,03-12-2004,Shipped,NULL,151
10350,02-12-2004,08-12-2004,05-12-2004,Shipped,NULL,141
10351,03-12-2004,11-12-2004,07-12-2004,Shipped,NULL,324
10352,03-12-2004,12-12-2004,09-12-2004,Shipped,NULL,198
10353,04-12-2004,11-12-2004,05-12-2004,Shipped,NULL,447
10354,04-12-2004,10-12-2004,05-12-2004,Shipped,NULL,323
10355,07-12-2004,14-12-2004,13-12-2004,Shipped,NULL,141
10356,09-12-2004,15-12-2004,12-12-2004,Shipped,NULL,250
10357,10-12-2004,16-12-2004,14-12-2004,Shipped,NULL,124
10358,10-12-2004,16-12-2004,16-12-2004,Shipped,Customer requested that DHL is used for this shipping,141
10359,15-12-2004,23-12-2004,18-12-2004,Shipped,NULL,353
10360,16-12-2004,22-12-2004,18-12-2004,Shipped,NULL,496
10361,17-12-2004,24-12-2004,20-12-2004,Shipped,NULL,282
10362,05-01-2005,16-01-2005,10-01-2005,Shipped,NULL,161
10363,06-01-2005,12-01-2005,10-01-2005,Shipped,NULL,334
10364,06-01-2005,17-01-2005,09-01-2005,Shipped,NULL,350
10365,07-01-2005,18-01-2005,11-01-2005,Shipped,NULL,320
10366,10-01-2005,19-01-2005,12-01-2005,Shipped,NULL,381
10367,12-01-2005,21-01-2005,16-01-2005,Resolved,This order was disputed and resolved on 2/1/2005. Customer claimed that container with shipment was damaged. FedEx's investigation proved this wrong.,205
10368,19-01-2005,27-01-2005,24-01-2005,Shipped,Can we renegotiate this one?,124
10369,20-01-2005,28-01-2005,24-01-2005,Shipped,NULL,379
10370,20-01-2005,01-02-2005,25-01-2005,Shipped,NULL,276
10371,23-01-2005,03-02-2005,25-01-2005,Shipped,NULL,124
10372,26-01-2005,05-02-2005,28-01-2005,Shipped,NULL,398
10373,31-01-2005,08-02-2005,06-02-2005,Shipped,NULL,311
10374,02-02-2005,09-02-2005,03-02-2005,Shipped,NULL,333
10375,03-02-2005,10-02-2005,06-02-2005,Shipped,NULL,119
10376,08-02-2005,18-02-2005,13-02-2005,Shipped,NULL,219
10377,09-02-2005,21-02-2005,12-02-2005,Shipped,"Cautious optimism. We have happy customers here, if we can keep them well stocked.  I need all the information I can get on the planned shippments of Porches",186
10378,10-02-2005,18-02-2005,11-02-2005,Shipped,NULL,141
10379,10-02-2005,18-02-2005,11-02-2005,Shipped,NULL,141
10380,16-02-2005,24-02-2005,18-02-2005,Shipped,NULL,141
10381,17-02-2005,25-02-2005,18-02-2005,Shipped,NULL,321
10382,17-02-2005,23-02-2005,18-02-2005,Shipped,Custom shipping instructions sent to warehouse,124
10383,22-02-2005,02-03-2005,25-02-2005,Shipped,NULL,141
10384,23-02-2005,06-03-2005,27-02-2005,Shipped,NULL,321
10385,28-02-2005,09-03-2005,01-03-2005,Shipped,NULL,124
10386,01-03-2005,09-03-2005,06-03-2005,Resolved,Disputed then Resolved on 3/15/2005. Customer doesn't like the craftsmaship of the models.,141
10387,02-03-2005,09-03-2005,06-03-2005,Shipped,We need to keep in close contact with their Marketing VP. He is the decision maker for all their purchases.,148
10388,03-03-2005,11-03-2005,09-03-2005,Shipped,NULL,462
10389,03-03-2005,09-03-2005,08-03-2005,Shipped,NULL,448
10390,04-03-2005,11-03-2005,07-03-2005,Shipped,They want to reevaluate their terms agreement with Finance.,124
10391,09-03-2005,20-03-2005,15-03-2005,Shipped,NULL,276
10392,10-03-2005,18-03-2005,12-03-2005,Shipped,NULL,452
10393,11-03-2005,22-03-2005,14-03-2005,Shipped,They want to reevaluate their terms agreement with Finance.,323
10394,15-03-2005,25-03-2005,19-03-2005,Shipped,NULL,141
10395,17-03-2005,24-03-2005,23-03-2005,Shipped,We must be cautions with this customer. Their VP of Sales resigned. Company may be heading down.,250
10396,23-03-2005,02-04-2005,28-03-2005,Shipped,NULL,124
10397,28-03-2005,09-04-2005,01-04-2005,Shipped,NULL,242
10398,30-03-2005,09-04-2005,31-03-2005,Shipped,NULL,353
10399,01-04-2005,12-04-2005,03-04-2005,Shipped,NULL,496
10400,01-04-2005,11-04-2005,04-04-2005,Shipped,Customer requested that DHL is used for this shipping,450
10401,03-04-2005,14-04-2005,NULL,On Hold,Customer credit limit exceeded. Will ship when a payment is received.,328
10402,07-04-2005,14-04-2005,12-04-2005,Shipped,NULL,406
10403,08-04-2005,18-04-2005,11-04-2005,Shipped,NULL,201
10404,08-04-2005,14-04-2005,11-04-2005,Shipped,NULL,323
10405,14-04-2005,24-04-2005,20-04-2005,Shipped,NULL,209
10406,15-04-2005,25-04-2005,21-04-2005,Disputed,Customer claims container with shipment was damaged during shipping and some items were missing. I am talking to FedEx about this.,145
10407,22-04-2005,04-05-2005,NULL,On Hold,Customer credit limit exceeded. Will ship when a payment is received.,450
10408,22-04-2005,29-04-2005,27-04-2005,Shipped,NULL,398
10409,23-04-2005,05-05-2005,24-04-2005,Shipped,NULL,166
10410,29-04-2005,10-05-2005,30-04-2005,Shipped,NULL,357
10411,01-05-2005,08-05-2005,06-05-2005,Shipped,NULL,233
10412,03-05-2005,13-05-2005,05-05-2005,Shipped,NULL,141
10413,05-05-2005,14-05-2005,09-05-2005,Shipped,Customer requested that DHL is used for this shipping,175
10414,06-05-2005,13-05-2005,NULL,On Hold,Customer credit limit exceeded. Will ship when a payment is received.,362
10415,09-05-2005,20-05-2005,12-05-2005,Disputed,Customer claims the scales of the models don't match what was discussed. I keep all the paperwork though to prove otherwise,471
10416,10-05-2005,16-05-2005,14-05-2005,Shipped,NULL,386
10417,13-05-2005,19-05-2005,19-05-2005,Disputed,Customer doesn't like the colors and precision of the models.,141
10418,16-05-2005,24-05-2005,20-05-2005,Shipped,NULL,412
10419,17-05-2005,28-05-2005,19-05-2005,Shipped,NULL,382
10420,29-05-2005,07-06-2005,NULL,In Process,NULL,282
10421,29-05-2005,06-06-2005,NULL,In Process,Custom shipping instructions were sent to warehouse,124
10422,30-05-2005,11-06-2005,NULL,In Process,NULL,157
10423,30-05-2005,05-06-2005,NULL,In Process,NULL,314
10424,31-05-2005,08-06-2005,NULL,In Process,NULL,141
10425,31-05-2005,07-06-2005,NULL,In Process,NULL,119
